股票名稱,代碼
Ｗａｔｅｒｓ　Ｃｏｒｐｏｒａｔｉｏｎ,WAT
沃博聯公司,WBA
Ｗａｒｎｅｒ　Ｂｒｏｓ．　Ｄｉｓｃｏｖｅｒｙ公司,WBD
Ｗｅｓｔｅｒｎ　Ｄｉｇｉｔａｌ　Ｃｏｒｐｏｒａｔｉｏｎ,WDC
ＷＥＣ能源集團,WEC
威爾塔公司,WELL
富國銀行,WFC
廢棄物管理公司,WM
威廉斯公司,WMB
沃爾瑪公司,WMT
Ｗｏｌｆｓｐｅｅｄ，　Ｉｎｃ．,WOLF
Ｗ．　Ｒ．　Ｂｅｒｋｌｅｙ　Ｃｏｒｐｏｒａｔｉｏｎ,WRB
Ｗｅｓｔ　Ｐｈａｒｍａｃｅｕｔｉｃａｌ　Ｓｅｒｖｉｃｅｓ，　Ｉｎｃ．,WST
Ｔｈｅ　Ｗｅｓｔｅｒｎ　Ｕｎｉｏｎ　Ｃｏｍｐａｎｙ,WU
永利度假村,WYNN
Ｘｃｅｌ　能源,XEL
艾克森美孚,XOM
布洛克公司,XYZ
百勝餐飲,YUM
Ｚｉｌｌｏｗ集團公司,Z
Ｚｏｏｍ　Ｖｉｄｅｏ　Ｃｏｍｍｕｎｉｃａｔｉｏｎｓ，Ｉｎｃ．,ZM
碩騰股份有限公司,ZTS
匯豐控股,0005.HK
恒生銀行,0011.HK
港鐵公司,0066.HK
吉利汽車,0175.HK
比亞迪電子,0285.HK
３７１－北控水務集團,0371.HK
３８８－香港交易所,0388.HK
陽光房地產投資信託基金,0435.HK
７００－騰訊,0700.HK
領展房產基金,0823.HK
中國石油,0857.HK
８８０－澳博控股集團,0880.HK
建設銀行,0939.HK
中國移動,0941.HK
９９２－聯想集團,0992.HK
比亞迪股份,1211.HK
華虹半導體,1347.HK
工商銀行,1398.HK
小米集團,1810.HK
百威亞太,1876.HK
富豪產業信託,1881.HK
中遠海控,1919.HK
金沙中國,1928.HK
１９２９－周大福,1929.HK
安踏體育,2020.HK
藥明生物,2269.HK
中國平安,2318.HK
長城汽車,2333.HK
舜宇光學科技,2382.HK
國泰君安證券股份有限公司,2611.HK
２６８８－新奧能,2688.HK
紫金礦業,2899.HK
美團,3690.HK
３８８８－金山軟件,3888.HK
６０３０－中信證券,6030.HK
鴻騰六零八八精密科技,6088.HK
高鑫零售,6808.HK
匯賢產業信託,87001.HK
京東集團,9618.HK
阿里巴巴集團控股有限公司,9988.HK
網易,9999.HK
６０１００６－大秦鐵路,SH601006
６００１０４－上汽集團,SH600104
６００２７６－恆瑞醫藥,SH600276
北京兆易創新科技股份有限公司,SH603986
６００３７２－中航電子,SH600372
６００１３８－中青旅,SH600138
６０１８８８－中國旅,SH601888
６００００９－上海機場,SH600009
６００６００－青島啤酒,SH600600
６００５１９－貴州茅台,SH600519
０００７２９－燕京啤酒,SZ000729
癶達控股集團股份有限公司,SZ002120
華孚時尚,SZ002042
０００９９９－華潤三九,SZ000999
０００５３８－雲南白藥,SZ000538
